feature,importance
PAYMENT_RATE,1424
EXT_SOURCE_3,974
EXT_SOURCE_1,838
EXT_SOURCE_2,797
DAYS_BIRTH,842
AMT_ANNUITY,617
APPROVED_CNT_PAYMENT_MEAN,438
DAYS_ID_PUBLISH,526
INSTAL_DPD_MEAN,432
AMT_CREDIT,426
INSTAL_AMT_PAYMENT_SUM,636
AMT_GOODS_PRICE,508
DAYS_EMPLOYED_PERC,342
DAYS_REGISTRATION,420
PREV_CNT_PAYMENT_MEAN,458
DAYS_EMPLOYED,313
ACTIVE_DAYS_CREDIT_MAX,324
INSTAL_DAYS_ENTRY_PAYMENT_MAX,403
CODE_GENDER,160
BURO_DAYS_CREDIT_MAX,434
ANNUITY_INCOME_PERC,464
INCOME_CREDIT_PERC,408
ACTIVE_DAYS_CREDIT_ENDDATE_MIN,396
REGION_POPULATION_RELATIVE,433
DAYS_LAST_PHONE_CHANGE,441
ACTIVE_DAYS_CREDIT_ENDDATE_MEAN,322
BURO_DAYS_CREDIT_ENDDATE_MAX,500
INSTAL_PAYMENT_DIFF_MEAN,367
PREV_APP_CREDIT_PERC_MEAN,456
BURO_AMT_CREDIT_SUM_DEBT_MEAN,423
BURO_AMT_CREDIT_SUM_MEAN,573
INSTAL_DBD_SUM,477
POS_MONTHS_BALANCE_MAX,247
PREV_APP_CREDIT_PERC_MIN,375
NAME_FAMILY_STATUS_Married,125
CC_CNT_DRAWINGS_ATM_CURRENT_MEAN,316
APPROVED_AMT_ANNUITY_MEAN,447
INSTAL_AMT_PAYMENT_MIN,338
INSTAL_DAYS_ENTRY_PAYMENT_MEAN,464
APPROVED_DAYS_DECISION_MAX,366
